name,height,weight,hand,age
Nicolas Massu,182.88,80.285784,0,35
Paul-Henri Mathieu,185.42,73.935496,0,32
Marcin Matkowski,187.96,80.739376,0,33
Marinko Matosevic,195.58,86.18248,0,29
Florian Mayer,190.5,81.64656,0,31
Leonardo Mayer,190.5,80.739376,0,27
James McGee,180.34,79.832192,0,27
Dominik Meffert,198.12,94.800728,0,33
Ricardo Mello,175.26,66.224432,1,34
Marcelo Melo,203.2,87.089664,0,31
Gerald Melzer,190.5,79.832192,1,24
Jurgen Melzer,182.88,74.84268,1,33
Florin Mergea,180.34,78.471416,0,29
Michal Mertinak,180.34,84.821704,0,35
Vincent Millot,172.72,78.017824,1,28
Max Mirnyi,195.58,92.98636,0,37
Juan Monaco,185.42,76.657048,0,30
Gael Monfils,193.04,80.285784,0,28
Nicholas Monroe,177.8,72.57472,0,32
Albert Montanes,175.26,70.30676,0,34
Frank Moser,193.04,86.18248,0,38
Gilles Muller,195.58,83.007336,1,31
Andy Murray,190.5,83.91452,0,27
Jamie Murray,190.5,84.368112,1,28
Rafael Nadal,185.42,85.275296,1,28
David Nalbandian,180.34,79.3786,0,32
Gianluca Naso,190.5,84.821704,0,27
Aleksandr Nedovyesov,193.04,81.192968,0,27
Daniel Nestor,190.5,86.18248,1,42
Frederik Nielsen,190.5,76.203456,0,31
Jarkko Nieminen,185.42,78.017824,1,33
Kei Nishikori,177.8,68.0388,0,24
Dick Norman,203.2,95.25432,1,43
Wayne Odesnik,180.34,77.11064,1,29
Philipp Oswald,190.5,78.471416,0,28
Lamine Ouahab,185.42,83.007336,0,30
Josselin Ouanna,193.04,90.7184,0,28
Leander Paes,177.8,77.564232,0,41
Benoit Paire,195.58,79.832192,0,25
Nathan Pasha,190.5,86.18248,0,22
Guido Pella,185.42,83.007336,1,24
Philipp Petzschner,185.42,69.853168,0,30
Alexander Peya,182.88,76.203456,0,34
Bjorn Phau,175.26,69.853168,0,35
Peter Polansky,180.34,70.30676,0,26
Filip Polasek,195.58,84.821704,0,29
Jaroslav Pospisil,175.26,64.863656,0,33
Michal Przysiezny,185.42,82.553744,0,30
Sam Querrey,198.12,90.7184,0,27
Aisam-Ul-Haq Qureshi,182.88,78.017824,0,34
Patrick Rafter,185.42,86.18248,0,41
Andy Ram,180.34,82.553744,0,34
Rajeev Ram,193.04,81.64656,0,30
Ruben Ramirez Hidalgo,182.88,73.935496,0,36
Sonchat Ratiwatana,175.26,70.760352,0,32
Hunter Reese,180.34,78.017824,0,21
Bobby Reynolds,182.88,77.11064,0,32
Pere Riba,182.88,70.760352,0,26
Tommy Robredo,180.34,74.84268,0,32
Olivier Rochus,165.1,58.96696,0,33
Edouard Roger-Vasselin,187.96,74.84268,0,31
Jean-Julien Rojer,185.42,77.11064,0,33
Blaz Rola,193.04,79.3786,1,24
Lukas Rosol,193.04,78.017824,0,29
Michael Russell,172.72,72.57472,0,36
Andre Sa,185.42,73.935496,0,37
Eduardo Schwank,182.88,83.007336,0,28
Diego Schwartzman,170.18,63.50288,0,22
Dudi Sela,175.26,66.678024,0,29
Andreas Seppi,190.5,70.760352,0,30
Florent Serra,180.34,77.564232,0,33
Adil Shamasdin,180.34,70.30676,0,32
Igor Sijsling,190.5,87.089664,0,27
Andreas Siljestrom,205.74,95.25432,0,33
Gilles Simon,180.34,68.945984,0,30
