Winner,Loser,WRank,LRank
Istomin D.,Baghdatis M.,49,108
Lajovic D.,Pouille L.,117,193
Dimitrov G.,Klahn B.,22,93
Nishikori K.,Matosevic M.,17,54
Przysiezny M.,Zeballos H.,64,65
Raonic M.,Gimeno-Traver D.,11,77
Lu Y.H.,Wang J.,53,173
Hanescu V.,Gojowczyk P.,76,135
Robert S.,Bedene A.,119,104
Klizan M.,Isner J.,106,13
Tsonga J.W.,Volandri F.,10,70
Rola B.,Delbonis F.,185,55
Federer R.,Duckworth J.,6,133
Gabashvili T.,Stakhovsky S.,79,82
Kavcic B.,Stepanek R.,99,44
Bellucci T.,Reister J.,129,88
Paire B.,Dancevic F.,28,122
Kyrgios N.,Becker B.,183,81
Verdasco F.,Zhang Z.,33,253
Seppi A.,Hewitt L.,25,43
Berrer M.,Llodra M.,144,102
Bautista R.,Smyczek T.,62,90
Del Potro J.M.,Williams R.,5,130
Millot V.,Odesnik W.,267,139
Lopez F.,Devvarman S.,27,97
Young D.,Haase R.,91,45
Simon G.,Brands D.,19,59
Sock J.,Kamke T.,95,78
Murray A.,Soeda G.,4,112
Kokkinakis T.,Sijsling I.,570,73
Cilic M.,Granollers M.,36,222
Monfils G.,Harrison R.,32,110
Nadal R.,Tomic B.,1,57
Berdych T.,De Schepper K.,7,86
Dzumhur D.,Dodig I.,188,34
Mayer F.,Youzhny M.,37,15
Gasquet R.,Davydenko N.,9,61
Janowicz J.,Andujar P.,20,48
Ferrer D.,Mannarino A.,3,71
Chardy J.,Dolgopolov O.,31,56
Robredo T.,Benneteau J.,18,38
Djokovic N.,Mayer L.,2,98
Istomin D.,Tursunov D.,49,26
Roger-Vasselin E.,Garcia-Lopez G.,40,58
Querrey S.,Gulbis E.,51,24
Anderson K.,Thiem D.,21,136
Fognini F.,Nieminen J.,16,39
Wawrinka S.,Falla A.,8,87
Pospisil V.,Ebden M.,30,67
Nishikori K.,Lajovic D.,17,117
Young D.,Seppi A.,91,25
Klizan M.,Rola B.,106,185
Tsonga J.W.,Bellucci T.,10,129
Robert S.,Przysiezny M.,119,64
Federer R.,Kavcic B.,6,99
Nadal R.,Kokkinakis T.,1,570
Dimitrov G.,Lu Y.H.,22,53
Simon G.,Cilic M.,19,36
Raonic M.,Hanescu V.,11,76
Lopez F.,Berrer M.,27,144
Gabashvili T.,Verdasco F.,79,33
Monfils G.,Sock J.,32,95
Bautista R.,Del Potro J.M.,62,5
Murray A.,Millot V.,4,267
Paire B.,Kyrgios N.,28,183
Wawrinka S.,Pospisil V.,8,30
Mayer F.,Janowicz J.,37,20
Ferrer D.,Chardy J.,3,31
Anderson K.,Roger-Vasselin E.,21,40
Berdych T.,Dzumhur D.,7,188
Robredo T.,Gasquet R.,18,9
Fognini F.,Querrey S.,16,51
Djokovic N.,Istomin D.,2,49
Robert S.,Klizan M.,119,106
Federer R.,Gabashvili T.,6,79
Dimitrov G.,Raonic M.,22,11
Bautista R.,Paire B.,62,28
Murray A.,Lopez F.,4,27
Tsonga J.W.,Simon G.,10,19
Nishikori K.,Young D.,17,91
Nadal R.,Monfils G.,1,32
Ferrer D.,Mayer F.,3,37
Djokovic N.,Fognini F.,2,16
Berdych T.,Anderson K.,7,21
Wawrinka S.,Robredo T.,8,18
Dimitrov G.,Bautista R.,22,62
Nadal R.,Nishikori K.,1,17
Murray A.,Robert S.,4,119
Federer R.,Tsonga J.W.,6,10
Berdych T.,Ferrer D.,7,3
Wawrinka S.,Djokovic N.,8,2
Nadal R.,Dimitrov G.,1,22
Federer R.,Murray A.,6,4
Wawrinka S.,Berdych T.,8,7
Nadal R.,Federer R.,1,6
Wawrinka S.,Nadal R.,8,1
Mathieu P.H.,Mahut N.,140,47
Istomin D.,Ilhan M.,43,188
Mannarino A.,Millot V.,72,203
Gicquel M.,Llodra M.,127,105
Olivetti A.,De Schepper K.,249,82
Herbert P.H.,Artunedo Martinavarro A.,160,340
Sousa J.,Kamke T.,50,89
Nieminen J.,Nedovyesov A.,36,95
Monfils G.,Kubot L.,30,75
Brown D.,Gabashvili T.,104,64
Davydenko N.,Benneteau J.,60,39
Roger-Vasselin E.,Przysiezny M.,38,57
Istomin D.,Tursunov D.,43,28
Nieminen J.,Herbert P.H.,36,160
Gicquel M.,Simon G.,127,20
Olivetti A.,Davydenko N.,249,60
Monfils G.,Sousa J.,30,50
Roger-Vasselin E.,Brown D.,38,104
Gasquet R.,Mathieu P.H.,9,140
Janowicz J.,Mannarino A.,21,72
Nieminen J.,Gicquel M.,36,127
Monfils G.,Istomin D.,30,43
Janowicz J.,Roger-Vasselin E.,21,38
Gasquet R.,Olivetti A.,9,249
Monfils G.,Nieminen J.,30,36
Gasquet R.,Janowicz J.,9,21
Monfils G.,Gasquet R.,30,9
Mayer L.,Haider-Maurer A.,91,111
Garcia-Lopez G.,Reister J.,56,96
Bedene A.,Robert S.,109,84
Delbonis F.,Cuevas P.,61,224
Lorenzi P.,Gonzalez A.,107,76
Alund M.,Ramos A.,133,86
Carreno-Busta P.,Volandri F.,65,74
Daniel T.,Bellucci T.,226,125
Giraldo S.,Ramirez-Hidalgo R.,71,173
Gimeno-Traver D.,Dolgopolov O.,85,52
Zeballos H.,Lama G.,67,289
Chardy J.,Garin C.,44,379
Mayer L.,Robredo T.,91,16
Garcia-Lopez G.,Lorenzi P.,56,107
Giraldo S.,Granollers M.,71,225
Almagro N.,Alund M.,18,133
Daniel T.,Delbonis F.,226,61
Gimeno-Traver D.,Zeballos H.,85,67
Chardy J.,Carreno-Busta P.,44,65
Fognini F.,Bedene A.,15,109
Giraldo S.,Garcia-Lopez G.,71,56
Mayer L.,Gimeno-Traver D.,91,85
Fognini F.,Chardy J.,15,44
Almagro N.,Daniel T.,18,226
Mayer L.,Giraldo S.,91,71
Fognini F.,Almagro N.,15,18
Fognini F.,Mayer L.,15,91
Cilic M.,Delic M.,37,370
Becker B.,Huta Galung J.,93,92
Lajovic D.,Krstin P.,101,373
Phau B.,Pavic A.,358,229
Berrer M.,Coric B.,148,303
Lacko L.,Struff J.L.,102,119
Karlovic I.,Brands D.,79,68
Evans D.,Hajek J.,147,106
Sela D.,Rosol L.,78,49
Kuznetsov An.,Stakhovsky S.,142,83
Golubev A.,Hanescu V.,87,73
Sijsling I.,Kavcic B.,63,112
Cilic M.,Lajovic D.,37,101
Sela D.,Lacko L.,78,102
Phau B.,Youzhny M.,358,14
Evans D.,Berrer M.,147,148
Kohlschreiber P.,Golubev A.,27,87
Kuznetsov An.,Sijsling I.,142,63
Dodig I.,Karlovic I.,34,79
Haas T.,Becker B.,12,93
Phau B.,Sela D.,358,78
Cilic M.,Dodig I.,37,34
Evans D.,Kohlschreiber P.,147,27
Haas T.,Kuznetsov An.,12,142
Cilic M.,Phau B.,37,358
Haas T.,Evans D.,12,147
Cilic M.,Haas T.,37,12
Granollers M.,Bedene A.,231,103
Pella G.,Garcia-Lopez G.,108,52
Berlocq C.,Sousa J.,48,49
Andujar P.,Delbonis F.,43,63
Robredo T.,Carreno-Busta P.,17,65
Mayer L.,Arguello F.,58,112
Fognini F.,Reister J.,14,94
Haase R.,Alund M.,46,131
Giraldo S.,Montanes A.,57,61
Volandri F.,Garin C.,77,439
Ferrer D.,Gonzalez M.,5,160
Ramos A.,Monaco J.,92,42
Chardy J.,Gonzalez A.,45,78
Dolgopolov O.,Cuevas P.,53,230
Gimeno-Traver D.,Ramirez-Hidalgo R.,84,165
