Winner,Loser,WRank,LRank
Benneteau J.,Edmund K.,52,298
Matosevic M.,Falla A.,72,68
Dodig I.,Golubev A.,37,70
Vesely J.,Volandri F.,73,82
Stepanek R.,Brands D.,49,95
Karlovic I.,Mathieu P.H.,53,114
Thiem D.,Rosol L.,86,38
Zeballos H.,Goffin D.,125,97
Baghdatis M.,Giraldo S.,143,65
Sock J.,Pella G.,103,113
Bedene A.,Wang J.,119,145
Robert S.,Bogomolov A.,90,94
Gimeno-Traver D.,Khachanov K.,99,453
Istomin D.,Mahut N.,57,39
Roger-Vasselin E.,Sijsling I.,43,54
Lacko L.,De Schepper K.,105,66
Lu Y.H.,Kukushkin M.,50,56
Harrison R.,Delbonis F.,112,45
Garcia-Lopez G.,Klahn B.,55,63
Nieminen J.,Tomic B.,40,74
Hewitt L.,Haase R.,44,46
Young D.,Berlocq C.,77,58
Sousa J.,Carreno-Busta P.,42,64
Bautista R.,Johnson S.,47,101
Querrey S.,Stakhovsky S.,62,79
Anderson K.,Zeballos H.,18,125
Ferrer D.,Gabashvili T.,4,60
Gasquet R.,Gonzalez A.,9,83
Mayer F.,Dodig I.,32,37
Robredo T.,Thiem D.,17,86
Federer R.,Karlovic I.,5,53
Seppi A.,Stepanek R.,33,49
Dimitrov G.,Montanes A.,16,59
Djokovic N.,Chardy J.,2,48
De Bakker T.,Verdasco F.,162,29
Lopez F.,Vesely J.,34,73
Nishikori K.,Matosevic M.,21,72
Benneteau J.,Gulbis E.,52,22
Baghdatis M.,Kohlschreiber P.,143,25
Tsonga J.W.,Mannarino A.,11,80
Murray A.,Ebden M.,6,67
Wawrinka S.,Gimeno-Traver D.,3,99
Roger-Vasselin E.,Cilic M.,43,26
Berdych T.,Robert S.,7,90
Bautista R.,Janowicz J.,47,20
Sousa J.,Simon G.,42,27
Garcia-Lopez G.,Monfils G.,55,24
Dolgopolov O.,Nieminen J.,23,40
Bedene A.,Pospisil V.,119,28
Isner J.,Young D.,10,77
Almagro N.,Querrey S.,19,62
Becker B.,Harrison R.,93,112
Fognini F.,Lacko L.,14,105
Raonic M.,Sock J.,12,103
Istomin D.,Tursunov D.,57,30
Lajovic D.,Lu Y.H.,89,50
Nadal R.,Hewitt L.,1,44
Djokovic N.,Mayer F.,2,32
Tsonga J.W.,Baghdatis M.,11,143
Robredo T.,Benneteau J.,17,52
Murray A.,Lopez F.,6,34
Gasquet R.,Anderson K.,9,18
Federer R.,De Bakker T.,5,162
Nishikori K.,Dimitrov G.,21,16
Ferrer D.,Seppi A.,4,33
Raonic M.,Garcia-Lopez G.,12,55
Dolgopolov O.,Lajovic D.,23,89
Becker B.,Bedene A.,93,119
Wawrinka S.,Roger-Vasselin E.,3,43
Fognini F.,Bautista R.,14,47
Nadal R.,Istomin D.,1,57
Isner J.,Almagro N.,10,19
Berdych T.,Sousa J.,7,42
Nishikori K.,Ferrer D.,21,4
Djokovic N.,Robredo T.,2,17
Murray A.,Tsonga J.W.,6,11
Dolgopolov O.,Wawrinka S.,23,3
Federer R.,Gasquet R.,5,9
Raonic M.,Becker B.,12,93
Berdych T.,Isner J.,7,10
Nadal R.,Fognini F.,1,14
Djokovic N.,Murray A.,2,6
Nishikori K.,Federer R.,21,5
Berdych T.,Dolgopolov O.,7,23
Nadal R.,Raonic M.,1,12
Djokovic N.,Nishikori K.,2,21
Nadal R.,Berdych T.,1,7
Djokovic N.,Nadal R.,2,1
Sousa J.,Sijsling I.,38,55
Berlocq C.,Gabashvili T.,61,58
Carballes Baena R.,Goffin D.,273,106
Peliwo F.,Volandri F.,266,80
Ramos A.,Ouahab L.,104,248
Hanescu V.,Khaddari H.,89,513
Delbonis F.,Simon G.,43,27
Carreno-Busta P.,Kamke T.,64,92
Garcia-Lopez G.,Kukushkin M.,53,56
Vesely J.,Mayer L.,67,87
Nedovyesov A.,Haase R.,77,47
Montanes A.,De Schepper K.,57,62
Delbonis F.,Peliwo F.,43,266
Hanescu V.,Anderson K.,89,19
Carballes Baena R.,Sousa J.,273,38
Kuznetsov An.,Vesely J.,142,67
Garcia-Lopez G.,Berlocq C.,53,61
Paire B.,Montanes A.,33,57
Carreno-Busta P.,Nedovyesov A.,64,77
Granollers M.,Ramos A.,36,104
Delbonis F.,Hanescu V.,43,89
Granollers M.,Carreno-Busta P.,36,64
Garcia-Lopez G.,Paire B.,53,33
Carballes Baena R.,Kuznetsov An.,273,142
Granollers M.,Delbonis F.,36,43
Garcia-Lopez G.,Carballes Baena R.,53,273
Garcia-Lopez G.,Granollers M.,53,36
Brown D.,Williams R.,101,153
Sock J.,Karlovic I.,94,52
Querrey S.,Bogomolov A.,82,85
Gonzalez A.,Baghdatis M.,79,129
Russell M.,Gimeno-Traver D.,97,102
Young D.,Harrison R.,91,115
Becker B.,Ramirez-Hidalgo R.,68,165
Hewitt L.,Polansky P.,46,135
Johnson S.,Kudla D.,69,108
Lopez F.,Ginepri R.,31,329
Giraldo S.,Ebden M.,84,63
Monaco J.,Devvarman S.,42,88
Querrey S.,Hewitt L.,82,46
Brown D.,Isner J.,101,9
Young D.,Monaco J.,91,42
Verdasco F.,Johnson S.,29,69
Gonzalez A.,Lopez F.,79,31
Sock J.,Becker B.,94,68
Giraldo S.,Robredo T.,84,14
Almagro N.,Russell M.,20,97
Verdasco F.,Young D.,29,91
Giraldo S.,Gonzalez A.,84,79
Querrey S.,Brown D.,82,101
Almagro N.,Sock J.,20,94
Verdasco F.,Giraldo S.,29,84
Almagro N.,Querrey S.,20,82
Verdasco F.,Almagro N.,29,20
Dolgopolov O.,Gulbis E.,22,23
Chardy J.,Sijsling I.,48,55
Tursunov D.,Haase R.,33,50
Mahut N.,Thiem D.,40,84
Kohlschreiber P.,Bolelli S.,25,329
Stepanek R.,Karlovic I.,41,53
Fognini F.,Sousa J.,13,39
Montanes A.,Paire B.,57,34
Rosol L.,Donskoy E.,47,108
Ramos A.,Nieminen J.,101,46
Andujar P.,Roger-Vasselin E.,36,42
Bautista R.,Pospisil V.,45,29
Robredo T.,Goffin D.,18,105
Lu Y.H.,Delbonis F.,52,44
Seppi A.,Youzhny M.,35,15
Gabashvili T.,Simon G.,58,28
Llodra M.,Janowicz J.,147,21
Benneteau J.,Melzer J.,51,60
Carreno-Busta P.,Dodig I.,62,37
Garcia-Lopez G.,Balleret B.,38,275
Dimitrov G.,Granollers M.,14,32
Cilic M.,Matosevic M.,27,66
Monfils G.,Anderson K.,24,19
Almagro N.,Mathieu P.H.,20,113
Tsonga J.W.,Kohlschreiber P.,12,25
Djokovic N.,Montanes A.,2,57
Ferrer D.,Chardy J.,6,48
Berdych T.,Tursunov D.,5,33
Fognini F.,Bautista R.,13,45
Rosol L.,Llodra M.,47,147
Raonic M.,Lu Y.H.,10,52
Seppi A.,Andujar P.,35,36
Federer R.,Stepanek R.,4,41
Robredo T.,Benneteau J.,18,51
Nadal R.,Gabashvili T.,1,58
Dimitrov G.,Ramos A.,14,101
Almagro N.,Mahut N.,20,40
Wawrinka S.,Cilic M.,3,27
Garcia-Lopez G.,Dolgopolov O.,38,22
Carreno-Busta P.,Monfils G.,62,24
Raonic M.,Robredo T.,10,18
Tsonga J.W.,Fognini F.,12,13
Nadal R.,Seppi A.,1,35
Wawrinka S.,Almagro N.,3,20
Ferrer D.,Dimitrov G.,6,14
Federer R.,Rosol L.,4,47
Garcia-Lopez G.,Berdych T.,38,5
Djokovic N.,Carreno-Busta P.,2,62
Wawrinka S.,Raonic M.,3,10
Ferrer D.,Nadal R.,6,1
Federer R.,Tsonga J.W.,4,12
Djokovic N.,Garcia-Lopez G.,2,38
Wawrinka S.,Ferrer D.,3,6
Federer R.,Djokovic N.,4,2
Wawrinka S.,Federer R.,3,4
Gabashvili T.,Przysiezny M.,55,77
Giraldo S.,Sijsling I.,65,56
Gimeno-Traver D.,Carballes Baena R.,104,187
Cervantes I.,Nedovyesov A.,824,72
Golubev A.,Viola M.,60,190
Kuznetsov An.,Carreno-Busta P.,131,58
Roger-Vasselin E.,Beck A.,46,49
Thiem D.,Stepanek R.,80,41
Bautista R.,Kubot L.,45,75
De Schepper K.,Ilhan M.,63,154
Matosevic M.,Sousa J.,70,40
Montanes A.,Lopez M.,59,1014
Dodig I.,Arguello F.,37,107
Melzer J.,Kukushkin M.,73,57
Klizan M.,Devvarman S.,108,100
Ramos A.,Davydenko N.,103,82
Gulbis E.,Gimeno-Traver D.,23,104
Nishikori K.,Bautista R.,17,45
Golubev A.,Paire B.,60,36
Kohlschreiber P.,Roger-Vasselin E.,26,46
Robredo T.,Matosevic M.,18,70
Cervantes I.,Tursunov D.,824,34
Thiem D.,Granollers M.,80,31
Montanes A.,Dolgopolov O.,59,22
Almagro N.,Klizan M.,20,108
Dodig I.,Lopez F.,37,30
Gabashvili T.,Ferrer D.,55,5
Giraldo S.,Fognini F.,65,13
Nadal R.,Ramos A.,1,103
Melzer J.,Janowicz J.,73,21
Verdasco F.,De Schepper K.,25,63
Cilic M.,Kuznetsov An.,27,131
Gabashvili T.,Cervantes I.,55,824
Nishikori K.,Golubev A.,17,60
Gulbis E.,Montanes A.,23,59
Almagro N.,Verdasco F.,20,25
Kohlschreiber P.,Melzer J.,26,73
Cilic M.,Robredo T.,27,18
Giraldo S.,Thiem D.,65,80
Nadal R.,Dodig I.,1,37
Gulbis E.,Gabashvili T.,23,55
Nishikori K.,Cilic M.,17,27
Almagro N.,Nadal R.,20,1
Giraldo S.,Kohlschreiber P.,65,26
Nishikori K.,Gulbis E.,17,23
Giraldo S.,Almagro N.,65,20
Nishikori K.,Giraldo S.,17,65
Vesely J.,Chardy J.,79,48
Stakhovsky S.,Ciorcila P.,92,589
Nieminen J.,Mayer L.,54,86
Rosol L.,Volandri F.,43,83
Istomin D.,Bellucci T.,53,109
Berlocq C.,Seppi A.,61,35
Haase R.,Ebden M.,50,62
Berankis R.,Basilashvili N.,157,310
Hanescu V.,Sela D.,84,81
Mathieu P.H.,Mahut N.,102,39
Copil M.,Mannarino A.,167,90
Ungur A.,Pospisil V.,118,29
Rosol L.,Nieminen J.,43,54
Simon G.,Hanescu V.,28,84
Stakhovsky S.,Berlocq C.,92,61
Dimitrov G.,Vesely J.,16,79
Istomin D.,Ungur A.,53,118
Haase R.,Youzhny M.,50,15
Monfils G.,Berankis R.,24,157
Mathieu P.H.,Copil M.,102,167
Rosol L.,Simon G.,43,28
Haase R.,Istomin D.,50,53
Monfils G.,Mathieu P.H.,24,102
Dimitrov G.,Stakhovsky S.,16,92
Rosol L.,Haase R.,43,50
Dimitrov G.,Monfils G.,16,24
Dimitrov G.,Rosol L.,16,43
Falla A.,Nieminen J.,71,56
Delbonis F.,Davydenko N.,44,90
Matosevic M.,Przysiezny M.,68,79
Brown D.,Karlovic I.,86,53
Struff J.L.,Lopez F.,96,30
Klizan M.,Sela D.,111,82
Melzer J.,Zverev A.,66,765
Bellucci T.,Dodig I.,122,36
Istomin D.,Kohlschreiber P.,55,26
Seppi A.,Berrer M.,33,116
Stakhovsky S.,Gojowczyk P.,89,113
Ramos A.,Hewitt L.,117,42
Istomin D.,Matosevic M.,55,68
Struff J.L.,Stakhovsky S.,96,89
Klizan M.,Youzhny M.,111,17
Seppi A.,Ramos A.,33,117
Berankis R.,Melzer J.,150,66
Haas T.,Falla A.,16,71
Fognini F.,Brown D.,15,86
Bellucci T.,Delbonis F.,122,44
Klizan M.,Istomin D.,111,55
Haas T.,Seppi A.,16,33
Fognini F.,Bellucci T.,15,122
Struff J.L.,Berankis R.,96,150
Klizan M.,Haas T.,111,16
Fognini F.,Struff J.L.,15,96
Klizan M.,Fognini F.,111,15
Golubev A.,Mannarino A.,61,92
Carreno-Busta P.,Kukushkin M.,60,59
Devvarman S.,Ebden M.,102,64
Berlocq C.,Daniel T.,62,190
Gimeno-Traver D.,Gonzalez A.,98,80
Cuevas P.,Nedovyesov A.,161,73
Machado R.,Tursunov D.,243,32
Montanes A.,Carballes Baena R.,57,188
Hanescu V.,Albot R.,93,178
Mayer L.,Sousa J.,88,40
Kubot L.,Gabashvili T.,76,52
Elias G.,Volandri F.,179,84
Gimeno-Traver D.,Machado R.,98,243
Granollers M.,Montanes A.,31,57
Hanescu V.,Carreno-Busta P.,93,60
Elias G.,Garcia-Lopez G.,179,39
Raonic M.,Cuevas P.,9,161
Berdych T.,Devvarman S.,6,102
Mayer L.,Golubev A.,88,61
Berlocq C.,Kubot L.,62,76
Gimeno-Traver D.,Granollers M.,98,31
Berdych T.,Mayer L.,6,88
Berlocq C.,Raonic M.,62,9
Hanescu V.,Elias G.,93,179
Berdych T.,Hanescu V.,6,93
Berlocq C.,Gimeno-Traver D.,62,98
Berlocq C.,Berdych T.,62,6
Bautista R.,Robredo T.,45,18
Chardy J.,Rosol L.,49,52
Garcia-Lopez G.,Andujar P.,38,36
Nishikori K.,Dodig I.,12,39
Nieminen J.,Haase R.,57,44
Copil M.,Granollers M.,164,30
Isner J.,Gabashvili T.,10,53
Tsonga J.W.,Roger-Vasselin E.,13,47
Thiem D.,Tursunov D.,70,32
Matosevic M.,Kohlschreiber P.,68,27
Youzhny M.,Becker B.,16,67
Ramos A.,Mahut N.,115,37
Verdasco F.,Seppi A.,25,34
Simon G.,Paire B.,28,33
Lopez F.,Delbonis F.,29,42
Giraldo S.,Hewitt L.,46,43
Dimitrov G.,Carreno-Busta P.,14,63
Sijsling I.,Haas T.,59,17
Anderson K.,Stepanek R.,19,41
Gulbis E.,Janowicz J.,20,21
Almagro N.,Golubev A.,24,61
Monaco J.,Melzer J.,56,64
Dolgopolov O.,Fognini F.,22,15
Cilic M.,Sousa J.,26,40
Ferrer D.,Ramos A.,5,115
Raonic M.,Chardy J.,9,49
Bautista R.,Verdasco F.,45,25
Nishikori K.,Garcia-Lopez G.,12,38
Thiem D.,Wawrinka S.,70,3
Berdych T.,Anderson K.,6,19
Kubot L.,Simon G.,78,28
Gulbis E.,Dolgopolov O.,20,22
Isner J.,Matosevic M.,10,68
Nieminen J.,Sijsling I.,57,59
Nadal R.,Monaco J.,1,56
Dimitrov G.,Copil M.,14,164
Lopez F.,Youzhny M.,29,16
Cilic M.,Mathieu P.H.,26,87
Giraldo S.,Tsonga J.W.,46,13
Murray A.,Almagro N.,8,24
Berdych T.,Dimitrov G.,6,14
Nishikori K.,Raonic M.,12,9
Nadal R.,Nieminen J.,1,57
Bautista R.,Kubot L.,45,78
Giraldo S.,Murray A.,46,8
Gulbis E.,Cilic M.,20,26
Lopez F.,Thiem D.,29,70
Ferrer D.,Isner J.,5,10
Nadal R.,Berdych T.,1,6
Bautista R.,Giraldo S.,45,46
Ferrer D.,Gulbis E.,5,20
Nishikori K.,Lopez F.,12,29
Nadal R.,Bautista R.,1,45
Nishikori K.,Ferrer D.,12,5
Nadal R.,Nishikori K.,1,12
Chardy J.,Haase R.,47,50
Stepanek R.,Andujar P.,43,64
Kukushkin M.,Sousa J.,60,41
Melzer J.,Isner J.,67,11
Kohlschreiber P.,Janowicz J.,29,22
Robredo T.,Monaco J.,18,54
Dodig I.,Delbonis F.,40,44
Granollers M.,Lopez F.,31,27
Dimitrov G.,Roger-Vasselin E.,14,45
Bolelli S.,Travaglia S.,162,293
Karlovic I.,Carreno-Busta P.,52,68
Riba P.,Lorenzi P.,98,90
Simon G.,Volandri F.,30,97
Robert S.,Gonzalez A.,85,79
Rosol L.,Fognini F.,56,15
Youzhny M.,Mahut N.,16,39
Tsonga J.W.,Dolgopolov O.,13,21
Cilic M.,Giraldo S.,26,36
Anderson K.,Pospisil V.,20,32
Golubev A.,Verdasco F.,59,25
Haas T.,Seppi A.,19,34
Gulbis E.,Falla A.,17,73
Tursunov D.,Bautista R.,33,28
Sijsling I.,Cecchinato M.,53,149
Djokovic N.,Stepanek R.,2,43
Wawrinka S.,Riba P.,3,98
Kohlschreiber P.,Robredo T.,29,18
Raonic M.,Bolelli S.,10,162
Ferrer D.,Kukushkin M.,5,60
Melzer J.,Cilic M.,67,26
Murray A.,Granollers M.,8,31
Chardy J.,Federer R.,47,4
Dodig I.,Rosol L.,40,56
Tsonga J.W.,Anderson K.,13,20
Haas T.,Sijsling I.,19,53
Youzhny M.,Golubev A.,16,59
Gulbis E.,Robert S.,17,85
Dimitrov G.,Karlovic I.,14,52
Nadal R.,Simon G.,1,30
Berdych T.,Tursunov D.,6,33
Haas T.,Wawrinka S.,19,3
Raonic M.,Tsonga J.W.,10,13
Murray A.,Melzer J.,8,67
Chardy J.,Dodig I.,47,40
Nadal R.,Youzhny M.,1,16
Dimitrov G.,Berdych T.,14,6
Ferrer D.,Gulbis E.,5,17
Djokovic N.,Kohlschreiber P.,2,29
Raonic M.,Chardy J.,10,47
Dimitrov G.,Haas T.,14,19
Djokovic N.,Ferrer D.,2,5
Nadal R.,Murray A.,1,8
Djokovic N.,Raonic M.,2,10
Nadal R.,Dimitrov G.,1,14
Djokovic N.,Nadal R.,2,1
Mannarino A.,Matosevic M.,96,68
Karlovic I.,Kamke T.,49,101
Gabashvili T.,Lajovic D.,60,84
Vesely J.,Sijsling I.,104,52
Melzer J.,Carreno-Busta P.,59,70
Milojevic N.,Basic M.,581,281
Brown D.,Lu Y.H.,87,46
Delic M.,Przysiezny M.,211,102
Davydenko N.,Sela D.,100,110
Monaco J.,Becker B.,54,71
Istomin D.,Nieminen J.,57,51
Kubler J.,Giannessi A.,352,366
Karlovic I.,Milojevic N.,49,581
Monaco J.,Granollers M.,54,37
Vesely J.,Davydenko N.,104,100
Melzer J.,Sousa J.,59,42
Istomin D.,Kubler J.,57,352
Kohlschreiber P.,Gabashvili T.,29,60
Delic M.,Brown D.,211,87
Seppi A.,Mannarino A.,33,96
Vesely J.,Melzer J.,104,59
Karlovic I.,Monaco J.,49,54
Istomin D.,Seppi A.,57,33
Kohlschreiber P.,Delic M.,29,211
Karlovic I.,Vesely J.,49,104
Kohlschreiber P.,Istomin D.,29,57
Kohlschreiber P.,Karlovic I.,29,49
Delbonis F.,Kukushkin M.,45,56
Roger-Vasselin E.,Gonzalez A.,47,78
Tursunov D.,Nedovyesov A.,32,99
Montanes A.,Ebden M.,61,75
Mahut N.,Vaisse M.,38,309
Mayer L.,Coric B.,77,245
Mathieu P.H.,Pouille L.,83,195
Klizan M.,Tomic B.,62,81
Haase R.,Volandri F.,50,97
Berlocq C.,Benneteau J.,48,43
Sock J.,De Schepper K.,79,74
Thiem D.,Johnson S.,58,67
Isner J.,Sock J.,11,79
Montanes A.,Querrey S.,61,64
Berlocq C.,Mahut N.,48,38
Mayer L.,Roger-Vasselin E.,77,47
Delbonis F.,Mathieu P.H.,45,83
Gulbis E.,Klizan M.,19,62
Tursunov D.,Haase R.,32,50
Simon G.,Thiem D.,30,58
Montanes A.,Mayer L.,61,77
Gulbis E.,Tursunov D.,19,32
Delbonis F.,Isner J.,45,11
Simon G.,Berlocq C.,30,48
Gulbis E.,Montanes A.,19,61
Delbonis F.,Simon G.,45,30
Gulbis E.,Delbonis F.,19,45
Raonic M.,Kyrgios N.,9,160
Youzhny M.,Carreno-Busta P.,16,68
Nedovyesov A.,Devvarman S.,101,96
Nieminen J.,Przysiezny M.,60,102
Stepanek R.,Arguello F.,43,114
Federer R.,Lacko L.,4,87
Berdych T.,Polansky P.,6,135
Schwartzman D.,Elias G.,109,178
Janowicz J.,Estrella Burgos V.,23,100
Isner J.,Herbert P.H.,11,130
Tsonga J.W.,Roger-Vasselin E.,14,51
Tursunov D.,Starace P.,32,176
Querrey S.,Volandri F.,67,99
Dolgopolov O.,Ramos A.,21,115
Chardy J.,Gimeno-Traver D.,42,94
Paire B.,Falla A.,61,70
Haase R.,Davydenko N.,50,92
Kukushkin M.,Mahut N.,54,40
Kamke T.,Mecir M.,106,211
Vesely J.,Rosol L.,81,52
Cilic M.,Andujar P.,26,78
Klizan M.,Nishikori K.,59,10
De Schepper K.,Montanes A.,72,86
Robredo T.,Ward J.,19,168
Djokovic N.,Sousa J.,2,44
Granollers M.,Dodig I.,229,36
Melzer J.,Goffin D.,56,105
Gonzalez A.,Russell M.,77,98
Simon G.,Pavic A.,30,177
Bagnis F.,Benneteau J.,143,45
Gabashvili T.,Pospisil V.,58,31
Lopez F.,Dzumhur D.,27,129
Bautista R.,Lorenzi P.,29,88
Bellucci T.,Becker B.,108,69
Nadal R.,Ginepri R.,1,279
Gulbis E.,Kubot L.,17,63
Fognini F.,Beck A.,15,51
Mayer L.,Duckworth J.,65,165
Mannarino A.,Lu Y.H.,89,48
Thiem D.,Mathieu P.H.,57,90
Young D.,Sela D.,79,110
Garcia-Lopez G.,Wawrinka S.,41,3
Karlovic I.,Dimitrov G.,37,12
Berlocq C.,Hewitt L.,47,46
Michon A.,Klahn B.,206,71
Seppi A.,Giraldo S.,33,35
Ferrer D.,Sijsling I.,5,55
Kohlschreiber P.,Riba P.,24,84
Istomin D.,Stakhovsky S.,49,93
Monaco J.,Pouille L.,76,190
Anderson K.,Robert S.,20,74
Haider-Maurer A.,Brands D.,104,131
Gasquet R.,Tomic B.,13,80
Bolelli S.,Arnaboldi A.,150,173
Lajovic D.,Delbonis F.,83,34
Cuevas P.,Ebden M.,136,73
Zopp J.,Haas T.,335,18
Sock J.,Almagro N.,75,22
Murray A.,Golubev A.,8,53
Verdasco F.,Llodra M.,25,153
Monfils G.,Hanescu V.,28,85
Matosevic M.,Brown D.,66,82
Struff J.L.,Olivetti A.,62,161
Johnson S.,Lokoli L.,64,406
Gulbis E.,Bagnis F.,17,143
Granollers M.,Dolgopolov O.,229,21
Bautista R.,Paire B.,29,61
Stepanek R.,Youzhny M.,43,16
Simon G.,Gonzalez A.,30,77
Tursunov D.,Querrey S.,32,67
Berdych T.,Nedovyesov A.,6,101
Klizan M.,Haase R.,59,50
Djokovic N.,Chardy J.,2,42
Cilic M.,Kamke T.,26,106
Raonic M.,Vesely J.,9,81
Federer R.,Schwartzman D.,4,109
Robredo T.,De Schepper K.,19,72
Tsonga J.W.,Melzer J.,14,56
Janowicz J.,Nieminen J.,23,60
Isner J.,Kukushkin M.,11,54
Ferrer D.,Bolelli S.,5,150
Karlovic I.,Haider-Maurer A.,37,104
Anderson K.,Michon A.,20,206
Young D.,Lopez F.,79,27
Garcia-Lopez G.,Mannarino A.,41,89
Mayer L.,Gabashvili T.,65,58
Nadal R.,Thiem D.,1,57
Seppi A.,Monaco J.,33,76
Lajovic D.,Zopp J.,83,335
Gasquet R.,Berlocq C.,13,47
Kohlschreiber P.,Istomin D.,24,49
Murray A.,Matosevic M.,8,66
Sock J.,Johnson S.,75,64
Verdasco F.,Cuevas P.,25,136
Fognini F.,Bellucci T.,15,108
Monfils G.,Struff J.L.,28,62
Gulbis E.,Stepanek R.,17,43
Federer R.,Tursunov D.,4,32
Djokovic N.,Cilic M.,2,26
Isner J.,Robredo T.,11,19
Berdych T.,Bautista R.,6,29
Tsonga J.W.,Janowicz J.,14,23
Raonic M.,Simon G.,9,30
Lajovic D.,Sock J.,83,75
Ferrer D.,Seppi A.,5,33
Anderson K.,Karlovic I.,20,37
Granollers M.,Klizan M.,229,59
Monfils G.,Fognini F.,28,15
Nadal R.,Mayer L.,1,65
Garcia-Lopez G.,Young D.,41,79
Verdasco F.,Gasquet R.,25,13
Murray A.,Kohlschreiber P.,8,24
Berdych T.,Isner J.,6,11
Gulbis E.,Federer R.,17,4
Raonic M.,Granollers M.,9,229
Djokovic N.,Tsonga J.W.,2,14
Ferrer D.,Anderson K.,5,20
Nadal R.,Lajovic D.,1,83
Murray A.,Verdasco F.,8,25
Monfils G.,Garcia-Lopez G.,28,41
Djokovic N.,Raonic M.,2,9
Gulbis E.,Berdych T.,17,6
Murray A.,Monfils G.,8,28
Nadal R.,Ferrer D.,1,5
Djokovic N.,Gulbis E.,2,17
Nadal R.,Murray A.,1,8
Nadal R.,Djokovic N.,1,2
Kohlschreiber P.,Seppi A.,27,34
Gojowczyk P.,Przysiezny M.,120,112
Herbert P.H.,Janowicz J.,135,24
Brown D.,Kuznetsov An.,85,111
Sousa J.,Struff J.L.,47,64
Haase R.,Gasquet R.,52,14
Lu Y.H.,Pavic M.,48,515
Falla A.,Kubot L.,69,68
Karlovic I.,Youzhny M.,33,16
Gabashvili T.,Marchenko I.,61,180
Johnson S.,Olivetti A.,63,161
Monfils G.,Becker B.,20,79
Kohlschreiber P.,Herbert P.H.,27,135
Falla A.,Haase R.,69,52
Nishikori K.,Monfils G.,12,20
Gojowczyk P.,Raonic M.,120,9
Federer R.,Sousa J.,4,47
Lu Y.H.,Karlovic I.,48,33
Johnson S.,Gabashvili T.,63,61
Brown D.,Nadal R.,85,1
Falla A.,Gojowczyk P.,69,120
Kohlschreiber P.,Brown D.,27,85
Nishikori K.,Johnson S.,12,63
Federer R.,Lu Y.H.,4,48
Falla A.,Kohlschreiber P.,69,27
Federer R.,Nishikori K.,4,12
Federer R.,Falla A.,4,69
Tomic B.,Smyczek T.,82,106
Ward J.,Rola B.,155,91
Mathieu P.H.,Bedene A.,92,132
Duckworth J.,Sela D.,167,107
Evans D.,Melzer J.,139,51
Querrey S.,Chardy J.,78,44
Kudla D.,Russell M.,122,97
Mahut N.,Ilhan M.,40,149
Mannarino A.,Cox D.,83,214
De Schepper K.,Devvarman S.,66,119
Hewitt L.,Gimeno-Traver D.,43,99
Stakhovsky S.,Brands D.,93,130
Lopez F.,Lajovic D.,29,76
Goffin D.,Thiem D.,105,55
Nieminen J.,Paire B.,62,67
Pospisil V.,Lorenzi P.,35,81
Tursunov D.,Sijsling I.,32,58
Roger-Vasselin E.,Donskoy E.,53,102
Baghdatis M.,Klahn B.,118,72
Estrella Burgos V.,Benneteau J.,95,46
Istomin D.,Dustov F.,49,152
Matosevic M.,Cilic M.,60,26
Stepanek R.,Kukushkin M.,42,50
Lacko L.,Ebden M.,89,86
Anderson K.,Evans D.,18,139
Querrey S.,Kudla D.,78,122
Dimitrov G.,Ward J.,13,155
Berdych T.,Duckworth J.,6,167
Mannarino A.,Estrella Burgos V.,83,95
Lopez F.,Hewitt L.,29,43
De Schepper K.,Gulbis E.,66,10
Stepanek R.,Tomic B.,42,82
Nieminen J.,Tursunov D.,62,32
Murray A.,Mathieu P.H.,5,92
Dolgopolov O.,Istomin D.,19,49
Stakhovsky S.,Pospisil V.,93,35
Wawrinka S.,Baghdatis M.,3,118
Roger-Vasselin E.,Mahut N.,53,40
Matosevic M.,Lacko L.,60,89
Tsonga J.W.,Goffin D.,17,105
Berdych T.,Mannarino A.,6,83
Lopez F.,De Schepper K.,29,66
Anderson K.,Stakhovsky S.,18,93
Stepanek R.,Murray A.,42,5
Dimitrov G.,Roger-Vasselin E.,13,53
Dolgopolov O.,Nieminen J.,19,62
Wawrinka S.,Querrey S.,3,78
Matosevic M.,Tsonga J.W.,60,17
Stepanek R.,Anderson K.,42,18
Lopez F.,Berdych T.,29,6
Dimitrov G.,Dolgopolov O.,13,19
Wawrinka S.,Matosevic M.,3,60
Dimitrov G.,Wawrinka S.,13,3
Lopez F.,Stepanek R.,29,42
Dimitrov G.,Lopez F.,13,29
Chardy J.,Karlovic I.,43,33
Kamke T.,Evans D.,90,144
Klizan M.,Delbonis F.,57,39
Istomin D.,Kukushkin M.,49,58
Simon G.,Guccione C.,36,613
Tomic B.,Golubev A.,82,55
Berlocq C.,Rola B.,44,91
Querrey S.,Edmund K.,77,284
Benneteau J.,Lu Y.H.,47,45
Roger-Vasselin E.,Kuznetsov An.,53,114
Nieminen J.,Giraldo S.,63,37
Young D.,Ward J.,69,155
Gasquet R.,Tomic B.,14,82
Roger-Vasselin E.,Nieminen J.,53,63
Klizan M.,Young D.,57,69
Istomin D.,Garcia-Lopez G.,49,31
Querrey S.,Estrella Burgos V.,77,92
Benneteau J.,Simon G.,47,36
Chardy J.,Berlocq C.,43,44
Lopez F.,Kamke T.,25,90
