"name","height","weight","hand","age","rank","country","points"
"Farrukh Dustov",195.58,89.811216,0,28,120,"Uzbekistan","460"
"Denis Kudla",180.34,74.84268,0,22,121,"United States","458"
"Victor Hanescu",198.12,84.821704,0,33,122,"Romania","455"
"Horacio Zeballos",187.96,78.017824,1,29,123,"Argentina","455"
"Michael Berrer",190.5,99.79024,1,34,128,"Germany","427"
"Aleksandr Nedovyesov",193.04,81.192968,0,27,129,"Kazakhstan","421"
"Gastao Elias",180.34,69.853168,0,24,132,"Portugal","416"
"Juan Martin del Potro",195.58,82.553744,0,26,137,"Argentina","385"
"Somdev Devvarman",177.8,63.956472,0,29,138,"India","381"
"Rajeev Ram",193.04,81.64656,0,30,139,"USA","381"
"Matthias Bachinger",187.96,83.007336,0,27,141,"Germany","378"
"Illya Marchenko",185.42,76.203456,0,27,143,"Ukraine","375"
"Thiemo De Bakker",190.5,78.017824,0,26,144,"Netherlands","375"
"Florian Mayer",190.5,81.64656,0,31,147,"Germany","365"
"Bradley Klahn",182.88,72.57472,1,24,148,"USA","365"
"Frank Dancevic",185.42,79.3786,0,30,149,"Canada","362"
"Austin Krajicek",185.42,72.57472,1,24,152,"United States","350"
"Vincent Millot",172.72,78.017824,1,28,154,"France","335"
"Guido Pella",185.42,83.007336,1,24,155,"Argentina","333"
"Adrian Ungur",177.8,72.57472,0,29,158,"Romania","327"
"Michael Russell",172.72,72.57472,0,36,159,"USA","325"
"Steve Darcis",177.8,73.028312,0,30,161,"Belgium","317"
"Gerald Melzer",190.5,79.832192,1,24,163,"Austria","316"
"Potito Starace",193.04,83.91452,0,33,164,"Italy","314"
"Andre Ghem",193.04,86.18248,0,32,166,"Brazil","313"
"Lukasz Kubot",190.5,86.18248,0,32,170,"Poland","302"
"Wayne Odesnik",180.34,77.11064,1,29,171,"United States","300"
"Michal Przysiezny",185.42,82.553744,0,30,174,"Poland","298"
"Andrej Martin",180.34,72.121128,0,25,178,"Slovakia","288"
"Alex Kuznetsov",182.88,76.203456,0,27,181,"United States","279"
"Peter Polansky",180.34,70.30676,0,26,185,"Canada","270"
"Ryan Harrison",182.88,74.84268,0,22,190,"USA","261"
"Jesse Huta Galung",185.42,79.832192,0,29,194,"Netherlands","257"
"Jan Hernych",190.5,83.007336,0,35,199,"Czech Republic","244"
"James McGee",180.34,79.832192,0,27,200,"Ireland","244"
